filename,ground_truth,prediction,confidences
ADNI_031_S_4590_MR_MPRAGE_br_raw_20130325172747193_110_S185242_I364457.nii.gz,T1,T1,17.64;82.36
ADNI_128_S_4607_MR_MPRAGE_br_raw_20121115155928000_92_S174743_I346866.nii.gz,T1,T1,7.87;92.13
ADNI_127_S_0259_MR_Axial_PD_T2_FSE__br_raw_20060313164606935_1_S12134_I11885.nii.gz,PD,PD,77.12;22.88
ADNI_037_S_4432_MR_MPRAGE_br_raw_20140319150323627_29_S214364_I417158.nii.gz,T1,T1,11.41;88.59
ADNI_067_S_4072_MR_MPRAGE_br_raw_20111012111441107_124_S125141_I260667.nii.gz,T1,T1,5.14;94.86
ADNI_072_S_4769_MR_MPRAGE_br_raw_20130702125620615_131_S193906_I378957.nii.gz,T1,T1,4.17;95.83
ADNI_072_S_4063_MR_MPRAGE_br_raw_20110622133502643_124_S112302_I241291.nii.gz,T1,T1,5.43;94.57
ADNI_128_S_2057_MR_MPRAGE_br_raw_20100903120516235_84_S91651_I192070.nii.gz,T1,T1,4.12;95.88
ADNI_041_S_4513_MR_MPRAGE_br_raw_20120521171509111_1_S151167_I305627.nii.gz,T1,T1,3.29;96.71
ADNI_032_S_0147_MR____________MPRAGE__br_raw_20070221181559616_1_S26882_I41233.nii.gz,T1,T1,7.81;92.19
ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20070619093112197_83_S33722_I57211.nii.gz,PD,PD,72.20;27.80
ADNI_068_S_4061_MR_MPRAGE_br_raw_20110608102033113_57_S111003_I239367.nii.gz,T1,T1,6.33;93.67
ADNI_073_S_4360_MR_MPRAGE_br_raw_20160107154602976_160_S342166_I592789.nii.gz,T1,T1,6.64;93.36
ADNI_116_S_4195_MR_MPRAGE_br_raw_20120918082702079_72_S167788_I335031.nii.gz,T1,T1,3.27;96.73
ADNI_037_S_0327_MR_FSE_PD_T2__br_raw_20061115161537457_1_S22546_I29681.nii.gz,PD,PD,94.14;5.86
ADNI_002_S_1155_MR_MPRAGE_br_raw_20111222134251188_159_S134623_I274154.nii.gz,T1,T1,17.57;82.43
ADNI_141_S_1378_MR_MPRAGE_br_raw_20070326150630532_98_S28927_I46859.nii.gz,T1,T1,13.66;86.34
ADNI_041_S_4271_MR_MPRAGE_br_raw_20111011124558005_3_S125033_I260502.nii.gz,T1,T1,5.03;94.97
ADNI_016_S_1121_MR_MPRAGE_br_raw_20070724163001586_98_S36309_I62031.nii.gz,T1,T1,3.21;96.79
ADNI_094_S_1402_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071112163243935_1_S42559_I81700.nii.gz,PD,PD,81.82;18.18
ADNI_052_S_0989_MR_Axial_PD_T2_FSE_rpt__br_raw_20110118122947449_97_S97708_I212865.nii.gz,PD,PD,76.75;23.25
ADNI_127_S_0112_MR_Axial_PD_T2_FSE__br_raw_20060127120711372_1_S11193_I10418.nii.gz,PD,PD,77.77;22.23
ADNI_018_S_2133_MR_MPRAGE_br_raw_20121220112015865_25_S178284_I352430.nii.gz,T1,T1,13.41;86.59
ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20080721142946247_7_S53701_I113634.nii.gz,PD,PD,71.81;28.19
ADNI_013_S_2389_MR_MPRAGE_br_raw_20121012131118435_25_S170658_I339821.nii.gz,T1,T1,18.73;81.27
ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20061212094052438_1_S23820_I32628.nii.gz,PD,PD,88.85;11.15
ADNI_012_S_4094_MR_MPRAGE_br_raw_20120726125816538_1_S158645_I318776.nii.gz,T1,T1,13.17;86.83
ADNI_013_S_2324_MR_MPRAGE_br_raw_20110628170516462_158_S112893_I242257.nii.gz,T1,T1,17.90;82.10
ADNI_011_S_0856_MR_MPRAGE_br_raw_20080319090000007_1_S47262_I98960.nii.gz,T1,T1,8.87;91.13
ADNI_073_S_5090_MR_MPRAGE_br_raw_20130213163556787_126_S182207_I359044.nii.gz,T1,T1,5.15;94.85
ADNI_067_S_1185_MR_MPRAGE_br_raw_20070727145830619_72_S36449_I62464.nii.gz,T1,T1,7.15;92.85
ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20080617160208137_1_S51716_I109830.nii.gz,PD,PD,97.56;2.44
ADNI_073_S_4552_MR_MPRAGE_br_raw_20120215154934047_48_S140944_I285080.nii.gz,T1,T1,3.56;96.44
ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_raw_20080312144505489_3_S46937_I96979.nii.gz,PD,PD,95.00;5.00
ADNI_014_S_4039_MR_MPRAGE_br_raw_20111208130220138_149_S132193_I270530.nii.gz,T1,T1,4.24;95.76
ADNI_009_S_4741_MR_MPRAGE_br_raw_20130115163110739_19_S180225_I355121.nii.gz,T1,T1,3.76;96.24
ADNI_094_S_1330_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070223104121970_103_S27037_I41490.nii.gz,PD,PD,67.34;32.66
ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20080603150951287_1_S50931_I108204.nii.gz,PD,PD,87.66;12.34
ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20080930153046332_1_S56835_I118610.nii.gz,PD,PD,73.87;26.13
ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20080215115651914_27_S45730_I90472.nii.gz,PD,PD,95.21;4.79
ADNI_020_S_4920_MR_MPRAGE_br_raw_20131125131346542_16_S206703_I399446.nii.gz,T1,T1,6.00;94.00
ADNI_010_S_0422_MR_MPRAGE_br_raw_20061130151614534_49_S23188_I31018.nii.gz,T1,T1,15.78;84.22
ADNI_006_S_0521_MR_Axial_PD_T2_FSE__br_raw_20060627144044765_1_S15875_I17534.nii.gz,PD,PD,80.84;19.16
ADNI_072_S_2093_MR_MPRAGE_br_raw_20110107162008642_106_S97274_I209965.nii.gz,T1,T1,7.88;92.12
ADNI_041_S_4513_MR_MPRAGE_br_raw_20140228145111315_131_S213484_I415651.nii.gz,T1,T1,3.46;96.54
ADNI_137_S_0994_MR_MPRAGE_br_raw_20141210165240800_171_S242838_I461110.nii.gz,T1,T1,6.60;93.40
ADNI_094_S_1164_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080108123522241_1_S44405_I86769.nii.gz,PD,PD,70.88;29.12
ADNI_018_S_2133_MR_MPRAGE_br_raw_20110824142729921_126_S120223_I252599.nii.gz,T1,T1,19.96;80.04
ADNI_067_S_4072_MR_MPRAGE_br_raw_20110706163415122_119_S113733_I243482.nii.gz,T1,T1,5.03;94.97
ADNI_094_S_1397_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071120143343588_1_S42907_I82870.nii.gz,PD,PD,68.73;31.27
ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20110610132841953_75_S111201_I239653.nii.gz,PD,PD,92.38;7.62
ADNI_020_S_0213_MR_MPRAGE_br_raw_20061122205152078_98_S22879_I30440.nii.gz,T1,T1,8.58;91.42
ADNI_127_S_0754_MR_Axial_PD_T2_FSE__br_raw_20060905144630794_1_S18514_I23786.nii.gz,PD,PD,73.59;26.41
ADNI_137_S_0722_MR_Axial_PD_T2_FSE__br_raw_20060726153256443_1_S17296_I19708.nii.gz,PD,PD,97.74;2.26
ADNI_037_S_4381_MR_MPRAGE_br_raw_20120119075105923_173_S137404_I279148.nii.gz,T1,T1,6.87;93.13
ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080219084409680_5_S45816_I90704.nii.gz,PD,PD,97.01;2.99
ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20061006154402262_1_S19844_I25941.nii.gz,PD,PD,52.45;47.55
ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20070208172659191_1_S26142_I38615.nii.gz,PD,PD,82.81;17.19
ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080205164656907_1_S45331_I89383.nii.gz,PD,PD,78.02;21.98
ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20070216092210125_1_S26586_I40523.nii.gz,PD,PD,75.81;24.19
